City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mataura,-46.1927,168.8643,63.48,59,86,10.29,NZ,1629773716
north myrtle beach,33.816,-78.68,82.09,91,80,1.01,US,1629773716
arraial do cabo,-22.9661,-42.0278,71.46,83,0,17.27,BR,1629773119
havre-saint-pierre,50.2334,-63.5986,62.96,88,90,2.3,CA,1629773716
severo-kurilsk,50.6789,156.125,55.69,89,100,13.8,RU,1629773201
aswan,24.0934,32.907,83.95,25,0,9.71,EG,1629773717
namibe,-15.1961,12.1522,64.0,70,92,11.01,AO,1629773226
hermanus,-34.4187,19.2345,53.91,89,1,13.89,ZA,1629773717
katobu,-4.9408,122.5276,82.69,72,97,5.5,ID,1629773717
salalah,17.0151,54.0924,80.69,83,75,5.75,OM,1629773128
olafsvik,64.8945,-23.7142,56.16,97,100,16.15,IS,1629773176
shubarshi,48.5872,57.1869,76.37,29,0,8.86,KZ,1629773718
victoria,22.2855,114.1577,89.96,83,100,1.01,HK,1629773418
khatanga,71.9667,102.5,51.94,65,77,5.46,RU,1629773718
new norfolk,-42.7826,147.0587,53.71,56,54,6.87,AU,1629773719
busselton,-33.65,115.3333,60.04,56,0,12.86,AU,1629773719
nuuk,64.1835,-51.7216,40.17,94,43,3.09,GL,1629773443
longyearbyen,78.2186,15.6401,40.84,93,75,4.61,SJ,1629773186
college,64.8569,-147.8028,55.65,97,90,3.44,US,1629773719
east london,-33.0153,27.9116,59.63,65,4,9.71,ZA,1629773720
maiduguri,11.8464,13.1603,75.7,83,99,6.13,NG,1629773720
hobyo,5.3505,48.5268,76.59,82,11,18.48,SO,1629773720
viedma,-40.8135,-62.9967,40.26,48,25,7.61,AR,1629773721
half moon bay,37.4636,-122.4286,69.46,84,20,11.5,US,1629773721
the valley,18.217,-63.0578,84.06,76,99,18.39,AI,1629773721
tiksi,71.6872,128.8694,53.15,61,97,8.3,RU,1629773130
cape town,-33.9258,18.4232,55.89,89,75,1.01,ZA,1629773643
san cristobal,7.7669,-72.225,69.98,98,100,1.54,VE,1629773168
sao filipe,14.8961,-24.4956,78.66,80,90,8.55,CV,1629773126
jamestown,42.097,-79.2353,74.79,89,1,5.01,US,1629773722
sibolga,1.7427,98.7792,77.86,86,100,1.59,ID,1629773722
kodiak,57.79,-152.4072,53.55,97,100,9.19,US,1629773723
basar,27.9833,94.6667,71.06,99,100,1.28,IN,1629773723
vaini,-21.2,-175.2,75.36,78,20,14.97,TO,1629773723
bhatgaon,21.15,81.7,80.78,89,20,6.91,IN,1629773724
saskylakh,71.9167,114.0833,50.36,75,100,11.14,RU,1629773724
alekseyevka,50.6309,38.6903,59.67,61,13,5.23,RU,1629773724
bukene,-4.2333,32.8833,64.54,53,5,8.52,TZ,1629773725
ostrovnoy,68.0531,39.5131,43.07,75,100,13.42,RU,1629773127
bozoum,6.3193,16.3799,66.92,97,100,0.98,CF,1629773725
mecca,21.4267,39.8261,87.42,41,51,5.73,SA,1629773219
thompson,55.7435,-97.8558,48.36,76,75,2.3,CA,1629773139
praia,14.9215,-23.5087,81.14,83,75,13.8,CV,1629773725
tessalit,20.1986,1.0114,91.31,17,10,6.15,ML,1629773212
saint-philippe,-21.3585,55.7679,65.75,74,56,14.16,RE,1629773726
staffanstorp,55.6428,13.2064,55.83,100,0,0.0,SE,1629773726
atuona,-9.8,-139.0333,77.86,67,0,15.55,PF,1629773726
bethel,41.3712,-73.414,72.19,94,81,1.01,US,1629773727
setermoen,68.861,18.3486,42.76,85,99,4.88,NO,1629773727
tuktoyaktuk,69.4541,-133.0374,51.8,76,90,12.66,CA,1629773727
kavieng,-2.5744,150.7967,76.75,88,100,5.44,PG,1629773728
puerto ayora,-0.7393,-90.3518,69.55,91,96,10.0,EC,1629773728
airai,-8.9266,125.4092,77.76,37,35,5.3,TL,1629773728
dubrovnik,42.6481,18.0922,74.84,38,0,5.75,HR,1629773729
buraydah,26.326,43.975,84.65,30,0,8.81,SA,1629773729
storslett,69.7678,21.0247,46.17,81,100,5.77,NO,1629773729
golden,39.7555,-105.2211,82.36,42,40,1.99,US,1629773535
cherskiy,68.75,161.3,56.75,31,7,2.24,RU,1629773730
cooma,-36.2333,149.1333,40.77,100,90,23.02,AU,1629773730
holme,56.1138,10.1725,53.74,92,25,2.71,DK,1629773730
weiser,44.251,-116.9693,76.32,18,0,9.95,US,1629773730
sheltozero,61.3667,35.3667,51.22,96,100,0.98,RU,1629773731
hithadhoo,-0.6,73.0833,82.26,74,7,10.58,MV,1629773731
montepuez,-13.1256,38.9997,62.82,97,7,3.62,MZ,1629773731
kamenka,51.3223,42.7678,58.66,93,100,6.85,RU,1629773184
porto de moz,-1.7483,-52.2383,76.75,72,40,4.05,BR,1629773732
dingle,10.9995,122.6711,79.32,82,100,1.5,PH,1629773190
nhamunda,-2.1861,-56.7131,80.06,57,61,3.47,BR,1629773732
eldoret,0.5204,35.2699,55.0,79,15,3.31,KE,1629773733
torbay,47.6666,-52.7314,66.27,68,90,20.71,CA,1629773187
bambous virieux,-20.3428,57.7575,70.21,68,75,11.5,MU,1629773733
sunbury,-37.5833,144.7333,54.05,67,75,3.0,AU,1629773733
cidreira,-30.1811,-50.2056,60.53,85,78,13.91,BR,1629773734
touros,-5.1989,-35.4608,76.1,82,6,14.09,BR,1629773143
wollongong,-34.4333,150.8833,52.07,86,100,21.21,AU,1629773458
port elizabeth,-33.918,25.5701,50.29,76,0,4.61,ZA,1629773525
maralal,1.0968,36.698,54.41,75,0,4.79,KE,1629773734
kiunga,-6.1219,141.2906,81.3,77,99,1.99,PG,1629773735
guerrero negro,27.9769,-114.0611,72.1,73,1,13.62,MX,1629773224
kermanshah,34.3142,47.065,63.5,17,0,0.0,IR,1629773735
dire dawa,9.5931,41.8661,69.01,62,100,13.31,ET,1629773735
chipata,-13.6333,32.65,64.38,65,49,6.82,ZM,1629773736
kuminskiy,58.6667,66.5667,71.91,55,72,4.32,RU,1629773736
avarua,-21.2078,-159.775,75.25,100,75,9.22,CK,1629773172
byron bay,-28.65,153.6167,69.75,40,44,19.28,AU,1629772937
vao,-22.6667,167.4833,70.0,67,93,18.5,NC,1629773179
machali,-34.1833,-70.6667,43.61,88,74,1.34,CL,1629773737
axim,4.8699,-2.2405,75.22,92,99,3.87,GH,1629773737
mar del plata,-38.0023,-57.5575,35.62,93,0,3.44,AR,1629773737
kirensk,57.7853,108.1119,56.66,71,100,2.68,RU,1629773738
la seyne-sur-mer,43.0982,5.8847,71.92,73,31,6.4,FR,1629773738
mahebourg,-20.4081,57.7,69.26,68,75,11.5,MU,1629773180
aranos,-24.1333,19.1167,59.05,18,88,6.71,NA,1629773738
kadnikov,59.5022,40.338,48.11,98,28,4.16,RU,1629773739
anadyr,64.75,177.4833,45.1,87,75,20.13,RU,1629773739
bronnoysund,65.4625,12.1997,48.2,100,90,2.3,NO,1629773739
mogadishu,2.0371,45.3438,76.32,83,66,15.05,SO,1629772915
miranda,3.2499,-76.2281,66.33,93,100,2.44,CO,1629773740
butaritari,3.0707,172.7902,82.8,74,8,11.81,KI,1629773740
tevriz,57.509,72.4042,75.06,53,1,4.07,RU,1629773740
duran,-2.2,-79.8333,77.05,76,75,13.8,EC,1629773741
bayji,34.9311,43.487,90.84,17,0,5.08,IQ,1629773741
mandya,12.5242,76.8958,72.45,77,94,5.59,IN,1629773741
sur,22.5667,59.5289,82.89,66,5,8.63,OM,1629773195
naze,28.3667,129.4833,85.12,76,99,13.0,JP,1629773155
port hardy,50.6996,-127.4199,59.18,77,20,8.05,CA,1629773146
saint-augustin,51.226,-58.6502,70.3,73,100,3.09,CA,1629773742
faya,18.3851,42.4509,69.91,31,44,4.9,SA,1629773237
alofi,-19.0595,-169.9187,76.89,78,75,16.24,NU,1629773742
nanortalik,60.1432,-45.2371,44.1,82,29,8.32,GL,1629773743
katsuura,35.1333,140.3,84.31,81,100,7.11,JP,1629773743
porlamar,10.958,-63.8491,89.69,70,100,12.66,VE,1629773743
baykit,61.67,96.37,61.95,63,100,2.71,RU,1629773743
barrow,71.2906,-156.7887,33.51,70,100,5.39,US,1629773744
ozernovskiy,51.5,156.5167,53.78,96,100,12.77,RU,1629773166
newark,40.7357,-74.1724,78.21,84,1,0.0,US,1629773275
jalingo,8.8833,11.3667,73.36,93,86,2.8,NG,1629773744
xambioa,-6.4111,-48.5364,81.37,37,41,3.13,BR,1629773745
sao joao da barra,-21.6403,-41.0511,71.13,86,0,21.45,BR,1629773745
banda aceh,5.5577,95.3222,83.3,72,98,12.53,ID,1629773162
isangel,-19.55,169.2667,80.71,44,40,9.22,VU,1629773745
kapaa,22.0752,-159.319,78.78,77,53,5.01,US,1629773746
biak,-0.9131,122.8766,81.1,73,74,5.75,ID,1629773746
bathsheba,13.2167,-59.5167,81.21,83,40,18.41,BB,1629773194
pangnirtung,66.1451,-65.7125,43.41,93,100,7.07,CA,1629773746
lorengau,-2.0226,147.2712,82.94,72,83,8.63,PG,1629773747
saint george,37.1041,-113.5841,93.79,13,1,1.99,US,1629773747
gigmoto,13.7796,124.39,84.47,71,100,2.33,PH,1629773747
minna,9.6139,6.5569,76.71,83,40,4.61,NG,1629773747
meulaboh,4.1363,96.1285,81.41,75,54,1.86,ID,1629773152
cabo san lucas,22.8909,-109.9124,85.14,79,40,11.5,MX,1629773492
coquimbo,-29.9533,-71.3436,51.53,81,40,3.44,CL,1629773748
kieta,-6.2167,155.6333,81.97,83,100,9.06,PG,1629773748
geraldton,-28.7667,114.6,66.61,39,0,17.27,AU,1629773188
camacupa,-12.0167,17.4833,63.5,59,28,3.83,AO,1629773749
hamilton,39.1834,-84.5333,80.73,84,1,0.0,US,1629773197
egvekinot,66.3167,-179.1667,33.24,89,100,11.65,RU,1629773749
klaksvik,62.2266,-6.589,54.52,97,100,8.43,FO,1629773168
leshukonskoye,64.8989,45.7622,45.01,88,100,4.59,RU,1629773749
sept-iles,50.2001,-66.3821,67.05,88,75,1.01,CA,1629773750
elizabeth city,36.2946,-76.2511,82.02,92,51,4.94,US,1629773750
ust-uda,54.1742,103.0304,57.06,65,100,3.94,RU,1629773750
esperance,-33.8667,121.9,57.04,57,75,10.74,AU,1629773751
narsaq,60.9167,-46.05,52.02,61,43,3.0,GL,1629773182
ostersund,63.1792,14.6357,45.05,93,98,4.61,SE,1629773751
bengkulu,-3.8004,102.2655,80.6,76,76,6.35,ID,1629773751
naraina,26.7833,75.2,84.34,61,37,21.34,IN,1629773752
buchanan,5.8808,-10.0467,75.16,91,78,3.11,LR,1629773752
eskil,38.4017,33.4131,63.57,69,0,5.46,TR,1629773752
whitehorse,60.7161,-135.0538,63.37,45,75,9.22,CA,1629773752
yeppoon,-23.1333,150.7333,76.78,63,62,14.45,AU,1629773753
alta floresta,-9.8756,-56.0861,80.98,34,79,2.17,BR,1629773753
le moule,16.3332,-61.3473,78.84,76,87,14.58,GP,1629773753
chokurdakh,70.6333,147.9167,50.02,59,100,10.49,RU,1629773754
faanui,-16.4833,-151.75,78.89,77,9,13.02,PF,1629773754
taltal,-25.4,-70.4833,54.52,84,25,1.39,CL,1629773175
tshela,-4.9833,12.9333,69.3,90,53,2.24,CD,1629773754
santiago del estero,-27.7951,-64.2615,56.37,22,0,10.36,AR,1629773755
moree,-29.4667,149.85,53.62,66,75,17.27,AU,1629773755
pemba,-12.974,40.5178,70.5,94,40,5.75,MZ,1629773709
cimarron hills,38.8586,-104.6989,80.98,30,1,6.91,US,1629773755
russell,32.3502,-85.1999,82.0,87,40,4.61,US,1629773120
dharchula,29.85,80.5333,74.75,93,97,0.94,IN,1629773756
balkhash,46.844,74.9804,68.61,49,0,29.08,KZ,1629773756
iqaluit,63.7506,-68.5145,42.53,87,90,0.0,CA,1629773756
burnie,-41.0667,145.9167,53.92,50,27,3.13,AU,1629773757
marsh harbour,26.5412,-77.0636,83.1,75,100,17.31,BS,1629773757
baruun-urt,46.6806,113.2792,55.09,94,100,16.93,MN,1629773757
santa barbara,34.7333,-120.0343,60.22,73,1,9.22,US,1629773758
remedios,22.4947,-79.5458,80.51,85,93,14.2,CU,1629773758
kununurra,-15.7667,128.7333,90.84,21,0,20.67,AU,1629773213
hualmay,-11.0964,-77.6139,61.03,86,49,8.72,PE,1629773758
sao benedito do rio preto,-3.3336,-43.5283,73.45,92,6,3.71,BR,1629773537
upernavik,72.7868,-56.1549,47.23,65,100,5.82,GL,1629773759
lazaro cardenas,17.9583,-102.2,79.2,82,100,1.83,MX,1629773759
bud,39.447,-86.1758,78.12,84,77,4.41,US,1629773759
moerai,-22.4333,-151.3333,74.75,88,100,15.41,PF,1629773760
zhigansk,66.7697,123.3711,59.05,45,100,11.83,RU,1629773760
tabou,4.423,-7.3528,74.7,92,73,4.56,CI,1629773177
wamba,8.9333,8.6,71.29,94,32,1.36,NG,1629773760
nayoro,44.3506,142.4578,77.99,68,46,2.33,JP,1629773761
bakhmach,51.1808,32.7569,61.54,50,100,3.96,UA,1629773761
kaitangata,-46.2817,169.8464,63.91,56,45,6.93,NZ,1629773761
lebu,-37.6167,-73.65,43.72,79,7,11.65,CL,1629773762
novo aripuana,-5.1206,-60.3797,82.94,39,80,1.5,BR,1629773762
honningsvag,70.9821,25.9704,47.1,88,100,15.64,NO,1629773225
castro,-24.7911,-50.0119,62.55,48,2,4.25,BR,1629773762
burgos,42.3394,-3.7079,54.01,94,40,13.8,ES,1629773763
belmonte,-15.8631,-38.8828,73.9,85,6,6.85,BR,1629773763
saint-georges,12.0564,-61.7485,78.48,94,40,11.5,GD,1629773197
cap malheureux,-19.9842,57.6142,69.48,61,68,7.0,MU,1629773209
ilula,-7.6766,36.0366,53.87,94,2,4.68,TZ,1629773763
oktyabrskiy,54.4815,53.471,68.36,73,60,9.1,RU,1629773764
abalak,58.1286,68.5944,73.4,52,27,6.04,RU,1629773764
norman wells,65.282,-126.8329,64.44,59,75,3.44,CA,1629773764
sola,-13.8833,167.55,77.74,62,82,17.69,VU,1629773765
xinzhou,38.4092,112.7333,72.12,40,5,14.41,CN,1629773765
barcelos,41.5388,-8.6151,77.29,49,0,3.62,PT,1629773765
constitucion,-35.3333,-72.4167,45.21,79,1,3.56,CL,1629773766
nedjo,9.5046,35.5019,55.4,97,100,4.59,ET,1629773766
la ronge,55.1001,-105.2842,55.65,62,75,8.05,CA,1629773766
cayenne,4.9333,-52.3333,81.09,85,0,1.01,GF,1629773225
boueni,-12.9025,45.0761,75.18,70,1,3.0,YT,1629773767
yellowknife,62.456,-114.3525,52.32,82,20,10.36,CA,1629773582
aksu,41.1231,80.2644,82.24,25,76,4.07,CN,1629773767
penzance,50.1186,-5.5371,59.77,84,55,10.83,GB,1629773767
mananjary,-21.2167,48.3333,67.1,90,65,8.34,MG,1629773768
yulara,-25.2406,130.9889,58.84,33,100,21.85,AU,1629773213
sabang,5.8933,95.3214,82.51,75,100,16.73,ID,1629773768
klichka,50.4457,117.996,68.11,55,40,7.14,RU,1629773768
gidole,5.65,37.3667,56.91,53,57,2.21,ET,1629773769
fayaoue,-20.65,166.5333,72.86,60,60,15.93,NC,1629773769
pallisa,1.145,33.7094,64.83,86,64,1.99,UG,1629773190
bilibino,68.0546,166.4372,50.79,38,4,10.31,RU,1629773769
fortuna,40.5982,-124.1573,58.32,68,0,4.0,US,1629773770
wanning,18.8003,110.3967,89.46,63,50,10.18,CN,1629773770
shatki,55.1887,44.1249,56.44,68,75,2.42,RU,1629773770
djenne,13.9061,-4.5533,81.19,66,84,6.53,ML,1629773771
marabba,12.35,32.1833,72.28,83,94,8.3,SD,1629773771
vanavara,60.34,102.2797,56.62,68,98,4.03,RU,1629773771
sechura,-5.5569,-80.8222,64.63,81,54,14.09,PE,1629773772
laibin,23.7,109.2667,85.12,73,100,8.95,CN,1629773772
la libertad,-2.2333,-80.9,68.52,86,100,12.12,EC,1629773772
krasnoselkup,65.7,82.4667,72.95,59,28,18.32,RU,1629773772
junction city,39.0286,-96.8314,86.86,56,49,8.99,US,1629773773
vila velha,-20.3297,-40.2925,71.55,83,20,5.75,BR,1629773773
batken,39.8333,71.0,63.18,33,0,0.74,KG,1629773773
provideniya,64.3833,-173.3,46.51,76,90,2.24,RU,1629773774
lagoa,39.05,-27.9833,71.42,94,100,16.51,PT,1629773774
turukhansk,65.8167,87.9833,63.03,86,100,22.39,RU,1629773774
abashiri,44.0213,144.2697,75.49,64,40,14.97,JP,1629773775
muisne,0.6,-80.0333,73.8,88,99,11.72,EC,1629773775
mountain home,43.133,-115.6912,76.48,15,1,9.22,US,1629773775
pontianak,-0.0333,109.3333,82.38,78,40,8.05,ID,1629773775
dumka,24.2667,87.25,87.4,66,86,7.34,IN,1629773776
emerald,-23.5333,148.1667,73.54,25,75,12.66,AU,1629773776
ahipara,-35.1667,173.1667,57.81,68,75,9.57,NZ,1629773777
berlevag,70.8578,29.0864,43.57,77,100,8.25,NO,1629773777
smithers,54.7804,-127.1743,62.92,59,40,4.61,CA,1629773777
roebourne,-20.7833,117.1333,81.19,22,0,17.22,AU,1629773777
cao bang,22.6667,106.25,86.04,72,100,4.83,VN,1629773778
sambava,-14.2667,50.1667,70.63,72,100,10.36,MG,1629773659
tarko-sale,64.9225,77.785,72.36,62,99,18.07,RU,1629773778
puerto quijarro,-17.7833,-57.7667,77.68,34,0,1.83,BO,1629773778
vardo,70.3705,31.1107,39.4,72,94,3.47,NO,1629773779
savonlinna,61.8699,28.88,46.45,100,90,11.5,FI,1629773779
kansanshi,-12.0951,26.4273,64.0,60,89,5.5,ZM,1629773779
troitsko-pechorsk,62.7084,56.1964,56.98,84,100,5.12,RU,1629773780
medea,36.2642,2.7539,63.05,37,68,5.44,DZ,1629773780
luderitz,-26.6481,15.1594,54.66,67,0,14.72,NA,1629773193
igarka,67.4667,86.5833,60.98,92,100,19.89,RU,1629773780
nalut,30.3333,10.85,76.5,37,0,9.62,LY,1629773781
shelburne,44.0787,-80.2041,71.28,92,51,6.85,CA,1629773781
lata,40.1629,-8.3327,64.81,62,0,2.75,PT,1629773213
donghai,22.9459,115.642,88.79,61,100,7.72,CN,1629773781
mehamn,71.0357,27.8492,44.78,88,100,8.93,NO,1629773782
tuatapere,-46.1333,167.6833,63.82,67,100,7.16,NZ,1629773782
okhotsk,59.3833,143.3,63.84,76,45,7.11,RU,1629773213
montrose,38.4166,-108.2673,67.41,38,6,7.72,US,1629773782
bac lieu,9.285,105.7244,86.72,65,29,12.82,VN,1629773183
weinan,34.5036,109.5089,82.09,40,4,7.99,CN,1629773783
kungurtug,50.5994,97.5228,57.22,59,38,2.37,RU,1629773783
san borja,-14.8167,-66.85,79.99,47,32,3.4,BO,1629773783
joshimath,30.5667,79.5667,73.67,87,91,2.24,IN,1629773784
arman,59.7,150.1667,62.53,81,76,6.67,RU,1629773222
sabha,27.0377,14.4283,77.72,33,0,9.17,LY,1629773784
ola,59.5833,151.2833,58.53,87,85,7.16,RU,1629773784
qaanaaq,77.484,-69.3632,35.92,57,100,7.4,GL,1629773785
luangwa,-15.6167,30.4167,66.47,77,2,2.95,ZM,1629773785
noumea,-22.2763,166.4572,80.58,52,60,13.02,NC,1629773785
udachnyy,66.4167,112.4,53.71,56,97,8.3,RU,1629773185
nagaur,27.2,73.7333,88.23,51,6,21.54,IN,1629773786
ilulissat,69.2167,-51.1,42.69,67,100,6.08,GL,1629773786
jalu,29.0331,21.5482,76.51,45,0,8.3,LY,1629773786
honiara,-9.4333,159.95,85.19,67,68,10.65,SB,1629773787
takoradi,4.8845,-1.7554,74.82,93,100,4.34,GH,1629773787
luanda,-8.8368,13.2343,71.6,88,75,9.22,AO,1629773787
nelson bay,-32.7167,152.15,55.11,87,100,3.0,AU,1629773787
chapais,49.7834,-74.8492,65.98,93,52,5.55,CA,1629773788
cody,44.5263,-109.0565,72.63,39,0,3.0,US,1629773769
amga,60.8953,131.9608,64.71,96,100,4.9,RU,1629773788
souillac,-20.5167,57.5167,70.36,68,75,11.5,MU,1629773788
pedernales,18.0384,-71.744,82.45,65,8,5.19,DO,1629773789
mandan,46.8267,-100.8896,75.04,66,1,17.27,US,1629773789
buala,-8.145,159.5921,83.1,71,100,17.09,SB,1629773789
champerico,14.3,-91.9167,82.35,83,77,6.8,GT,1629773790
paragominas,-2.9667,-47.4833,73.92,73,32,3.98,BR,1629773790
atar,20.5169,-13.0499,88.93,41,40,3.94,MR,1629773790
launceston,-41.45,147.1667,55.15,51,0,3.0,AU,1629773790
maceio,-9.6658,-35.7353,72.84,88,75,5.75,BR,1629773791
araouane,18.9048,-3.5265,93.92,26,9,7.83,ML,1629773791
methoni,36.8197,21.7049,76.21,65,0,3.33,GR,1629773791
rongcheng,30.634,117.8517,74.88,95,100,3.74,CN,1629773792
saldanha,-33.0117,17.9442,44.65,92,0,5.39,ZA,1629773792
kahului,20.8947,-156.47,78.96,92,90,16.11,US,1629773191
auki,-8.7676,160.7034,84.65,63,100,11.1,SB,1629773792
kerema,-7.9631,145.7785,81.77,79,92,9.15,PG,1629773793
serik,36.9169,31.0989,80.85,35,0,8.59,TR,1629773793
evensk,61.95,159.2333,63.27,73,56,1.14,RU,1629773793
namatanai,-3.6667,152.4333,75.56,90,100,7.16,PG,1629773793
guamuchil,25.4667,-108.1,86.76,84,70,2.66,MX,1629773794
san jeronimo,-11.9472,-75.2829,50.56,68,76,2.13,PE,1629773794
mackay,-21.15,149.2,78.78,65,1,12.66,AU,1629773794
tezu,27.9167,96.1667,76.87,99,100,0.98,IN,1629773795
umm lajj,25.0213,37.2685,85.59,59,0,10.58,SA,1629773795
myitkyina,25.3833,97.4,76.15,99,100,1.14,MM,1629773795
ngunguru,-35.6167,174.5,61.16,63,99,9.55,NZ,1629773796
shaping,22.7545,112.9565,87.89,59,100,7.63,CN,1629773796
mandalgovi,45.7625,106.2708,47.16,83,100,26.17,MN,1629773796
iranshahr,27.2025,60.6848,89.94,35,0,0.0,IR,1629773797
amalapuram,16.5833,82.0167,86.38,67,43,5.06,IN,1629773797
necochea,-38.5473,-58.7368,39.78,58,54,6.13,AR,1629773238
rusape,-18.5278,32.1284,58.3,77,77,3.53,ZW,1629773797
aksarka,66.5606,67.7975,54.84,70,37,21.92,RU,1629773798
along,28.1667,94.7667,78.48,95,100,0.47,IN,1629773798
bulungu,-4.55,18.6,74.97,79,100,1.48,CD,1629773798
santa luzia,-19.7697,-43.8514,69.08,58,0,10.36,BR,1629773799
yankton,42.8711,-97.3973,82.65,69,1,5.75,US,1629773551
broome,42.2506,-75.833,73.78,93,90,1.01,US,1629773226
laguna,38.421,-121.4238,84.24,55,1,3.0,US,1629773799
carutapera,-1.195,-46.02,77.63,84,99,8.01,BR,1629773208
lavrentiya,65.5833,-171.0,43.61,90,100,11.86,RU,1629773799
mount isa,-20.7333,139.5,65.97,18,6,14.97,AU,1629773209
penarroya-pueblonuevo,38.3,-5.2667,73.45,54,26,3.0,ES,1629773800
baracoa,20.3467,-74.4958,80.42,85,94,11.14,CU,1629773800
isabela,6.7085,121.9711,86.05,70,100,3.11,PH,1629773800
kavaratti,10.5669,72.642,80.82,74,97,3.42,IN,1629773801
caravelas,-17.7125,-39.2481,71.24,80,0,7.52,BR,1629773218
komsomolskiy,40.4272,71.7189,81.32,24,0,2.3,UZ,1629773210
kholodnyy,62.7167,147.95,65.3,67,88,7.52,RU,1629773801
lithgow,-33.4833,150.15,41.56,100,100,5.3,AU,1629773801
korla,41.7597,86.1469,81.48,13,1,6.06,CN,1629773802
daru,-9.0763,143.2092,79.47,85,92,14.16,PG,1629773802
sitka,57.0531,-135.33,58.89,77,75,5.75,US,1629773235
morro bay,35.3658,-120.8499,66.65,83,54,1.01,US,1629773602
padang,-0.9492,100.3543,80.65,78,100,2.64,ID,1629773803
kapuskasing,49.4169,-82.4331,69.89,63,20,9.22,CA,1629773803
quatre cocos,-20.2078,57.7625,70.09,63,83,18.25,MU,1629773709
shahrud,36.4182,54.9763,72.19,31,0,4.59,IR,1629773803
lalsot,26.5667,76.3333,84.87,55,28,17.16,IN,1629773804
poltavka,54.3663,71.7632,76.15,44,1,4.5,RU,1629773804
haines junction,60.7522,-137.5108,62.55,29,99,9.22,CA,1629773804
denpasar,-8.65,115.2167,82.06,74,40,14.97,ID,1629773805
pudukkottai,10.3833,78.8167,80.46,70,72,4.54,IN,1629773805
nigde,37.8333,34.75,56.82,70,0,5.68,TR,1629773805
peleduy,59.6289,112.7406,62.04,58,54,7.25,RU,1629773806
